Temperature,Humidity,Pressure,WindSpeed,CloudCover,RainToday,RainTomorrow
20,44,1012,11,24,0,0
39,57,998,32,13,0,1
33,78,1008,4,98,0,1
30,32,1015,35,67,0,0
21,69,1022,13,31,0,0
30,55,1008,21,17,0,0
23,56,1023,44,1,0,0
36,55,1013,6,82,0,0
19,35,1012,32,55,0,0
40,33,997,22,72,1,1
31,31,1010,17,96,0,1
24,64,1011,38,51,0,1
21,62,1001,38,62,0,1
20,31,1021,29,85,1,1
22,29,1024,3,61,0,0
39,45,1004,24,57,0,1
22,89,1007,22,89,0,1
38,77,1012,38,44,0,1
34,84,1005,22,51,0,1
38,50,1024,5,33,0,0
35,76,1023,39,41,1,1
30,88,1011,10,40,0,0
33,53,995,11,57,0,1
25,45,1022,12,33,0,0
39,96,1011,16,16,0,0
41,69,1013,6,31,1,1
40,32,1007,9,86,1,1
30,75,1018,36,23,0,0
37,45,1002,32,99,0,1
32,31,1013,29,50,0,0
22,29,1024,33,7,0,0
23,32,1002,26,72,0,1
35,91,1011,37,67,1,1
26,86,1012,11,20,0,0
25,26,1016,14,52,1,0
33,56,1022,35,10,0,0
34,64,1012,10,24,0,0
31,46,1014,31,83,0,1
36,70,1011,22,98,0,1
40,63,1011,13,46,0,0
30,45,1024,9,45,1,0
24,47,1006,33,74,0,1
39,46,1022,30,12,0,0
38,76,1021,32,78,0,1
41,68,1007,23,42,1,1
18,80,997,20,22,0,1
24,49,999,9,57,0,1
18,29,997,2,3,0,0
27,34,1015,40,90,0,1
26,37,1003,37,85,1,1
39,36,1011,15,13,1,0
38,44,1005,17,94,0,1
41,82,998,5,19,1,1
39,50,999,39,84,0,1
24,45,1004,39,45,0,1
30,44,1011,8,3,0,0
20,82,1017,5,23,0,0
35,43,1022,20,48,0,0
36,46,1018,13,29,1,0
38,55,998,20,47,0,1
40,79,995,19,62,0,1
32,99,1019,34,16,0,0
37,71,1021,16,69,1,1
28,33,1020,17,68,0,0
27,74,997,14,93,1,1
30,94,1011,20,41,1,1
36,93,1023,38,83,1,1
27,88,999,37,69,0,1
24,63,1012,36,0,1,1
21,94,1003,32,83,0,1
21,54,1018,43,29,0,0
24,59,1017,29,13,0,0
33,40,1016,32,88,1,1
29,97,1007,37,55,0,1
35,81,1015,5,49,0,0
24,94,1009,19,31,0,1
37,39,1010,8,20,0,0
29,38,1019,38,57,1,1
22,27,1017,27,36,0,0
36,36,1019,42,32,0,0
21,95,1016,34,80,1,1
19,52,1020,44,40,1,1
34,41,996,7,69,1,1
27,29,996,23,56,0,1
19,40,1010,40,85,0,1
32,64,1000,11,98,0,1
34,88,1001,22,19,0,1
21,39,1018,41,84,0,0
37,38,1021,42,39,1,0
34,87,996,26,2,1,1
18,66,1014,36,5,0,0
40,74,1005,20,68,1,1
41,36,1004,9,23,0,0
26,60,999,22,71,1,1
32,39,1010,41,81,0,1
37,94,1006,3,6,0,0
30,27,1021,44,39,0,0
18,32,999,33,47,0,1
21,94,1008,20,31,0,1
28,70,1017,17,0,0,0
40,45,1024,14,33,0,0
23,83,1017,28,68,0,1
18,92,1019,21,33,0,0
22,85,1022,30,8,1,0
35,30,1013,12,65,1,1
29,97,1015,25,97,1,1
29,54,1020,22,27,1,0
18,59,1014,35,40,1,1
35,82,1005,24,47,0,1
34,93,1006,12,93,1,1
20,57,1014,17,33,0,0
25,52,1009,40,69,1,1
18,96,1017,24,62,0,1
32,62,1009,22,98,1,1
38,70,1014,15,99,1,1
24,33,997,14,78,0,1
18,30,1021,28,22,0,0
19,70,1000,15,99,0,1
20,43,1024,15,83,0,0
25,38,1020,39,86,0,0
36,75,997,43,18,1,1
37,69,1001,15,62,0,1
40,43,1009,15,37,0,0
21,64,1011,31,8,0,0
41,76,1019,15,74,0,0
26,83,1008,31,40,0,1
21,32,996,42,85,1,1
40,40,1023,31,11,0,0
31,74,1015,22,68,0,1
22,91,1006,34,72,1,1
21,59,1011,35,87,1,1
25,69,1017,41,75,1,1
31,71,1009,42,18,1,1
39,45,1013,39,19,1,1
36,28,1017,8,91,0,0
39,69,997,23,65,0,1
40,25,1002,24,37,0,0
35,41,1023,13,5,0,0
25,89,1019,30,98,0,1
20,72,1007,21,55,0,1
23,73,1008,9,42,1,1
18,63,1015,43,53,1,1
26,61,1011,42,16,0,0
36,83,1001,42,38,0,1
28,43,1005,14,45,0,0
25,43,1006,9,71,0,0
30,36,1023,34,44,1,0
22,32,1019,28,45,0,0
30,71,1017,21,81,0,1
21,57,998,19,18,0,1
25,39,1003,40,1,0,0
26,98,996,12,76,0,1
35,75,1016,10,38,1,1
37,94,1021,3,92,0,0
33,64,996,18,40,0,1
20,89,1017,16,89,1,1
34,49,1017,25,37,1,0
39,42,998,36,44,0,1
38,54,1022,35,31,1,0
29,65,1017,41,74,0,1
39,57,1018,40,33,0,0
22,31,998,38,55,1,1
32,44,1013,30,73,0,0
20,67,1009,32,90,0,1
34,62,999,9,33,1,1
41,89,998,6,29,0,1
20,99,1007,5,25,0,0
39,88,1021,43,50,0,1
32,54,1004,38,36,1,1
22,59,1017,7,67,1,1
26,53,1007,18,95,0,1
21,93,999,42,48,0,1
30,77,1021,24,50,0,0
19,56,1007,22,45,0,0
38,68,1005,40,67,0,1
41,37,1009,35,10,0,0
34,48,1020,20,36,1,0
25,52,999,18,35,1,1
38,35,1016,13,20,1,0
24,29,1011,21,40,1,1
29,94,1011,20,25,1,1
29,76,1000,37,74,0,1
41,47,1009,28,74,1,1
36,75,1015,15,90,0,1
36,71,1009,5,6,1,0
33,97,1002,18,80,1,1
25,43,1000,4,58,0,0
32,85,1017,17,95,1,1
39,67,997,11,41,0,1
38,90,1003,25,34,0,1
32,59,1013,9,25,1,0
24,54,1001,4,64,0,1
22,25,1009,38,12,1,1
22,84,1003,2,35,1,1
25,47,1003,35,45,0,1
21,54,1000,12,98,0,1
31,84,1007,33,33,0,1
36,40,996,41,16,0,1
27,40,1000,3,65,1,1
41,55,1022,35,38,0,0
40,79,1021,30,52,1,1
34,54,1015,14,20,0,0
36,81,1019,23,30,1,1
40,56,1024,11,9,1,0
39,76,1014,33,13,0,0
31,77,1018,16,21,0,0
21,83,1017,9,81,0,0
31,58,1012,35,74,0,1
34,81,1011,30,25,1,1
39,62,1011,24,87,1,1
26,30,999,30,27,0,0
18,43,1003,28,33,0,0
21,39,1013,14,82,1,1
33,80,1006,38,16,0,1
18,84,1021,26,54,0,0
40,45,1005,14,32,0,0
28,41,998,26,93,0,1
37,36,999,43,16,0,1
33,52,1003,36,46,0,1
31,95,1003,14,81,0,1
21,55,996,17,8,0,0
28,78,1018,23,96,1,1
40,69,1007,35,8,0,0
24,60,1012,4,27,1,0
29,45,1022,41,53,0,0
21,45,1022,44,98,0,1
34,78,1004,11,45,0,1
23,48,996,23,80,0,1
27,59,1019,4,16,1,0
37,48,1023,44,24,1,0
23,89,1014,29,15,1,1
25,82,1006,28,52,0,1
32,58,999,7,6,0,0
38,49,995,8,56,0,1
33,67,1015,37,76,1,1
32,75,1003,33,74,1,1
40,96,1007,23,58,0,1
20,53,1003,30,97,0,1
30,68,1020,5,89,1,1
40,29,1018,33,83,0,0
32,56,1022,23,16,0,0
29,95,1004,27,24,1,1
30,35,1007,9,67,0,0
28,89,1011,39,87,1,1
32,55,1003,27,4,0,0
26,99,1018,34,49,0,1
19,39,1023,22,45,0,0
23,86,1016,19,77,0,1
30,27,1024,7,92,0,0
30,57,1011,12,76,0,0
29,94,1003,17,67,1,1
33,80,1021,27,61,0,0
28,42,1013,24,54,0,0
35,50,1000,5,28,1,1
19,41,1005,44,79,1,1
40,32,1007,43,7,1,1
21,89,1005,40,80,0,1
41,68,1003,38,73,1,1
27,67,1015,25,41,0,0
19,79,1002,28,21,0,1
20,37,1007,11,99,0,1
41,51,996,2,31,0,0
24,91,1014,21,93,1,1
34,41,1012,30,83,0,1
35,92,995,2,57,1,1
37,34,1021,12,40,0,0
18,41,1016,35,40,1,1
22,35,1018,22,98,0,0
36,43,1007,8,46,1,1
25,29,1015,15,3,1,0
37,39,1012,30,7,0,0
36,70,1022,28,67,0,0
20,61,995,4,23,1,1
21,48,1018,43,3,0,0
34,77,1018,24,68,0,0
38,86,1003,7,56,1,1
24,62,1015,21,2,1,0
39,71,998,29,75,0,1
21,65,999,14,86,0,1
22,49,1010,28,50,0,0
33,71,1016,37,38,0,0
39,78,1015,9,15,0,0
27,98,1021,35,8,0,0
27,41,998,26,20,0,0
34,89,1019,37,80,1,1
41,90,1002,16,95,0,1
23,25,1009,24,38,1,1
34,58,1021,42,92,0,1
23,30,1014,4,80,1,1
29,71,1007,2,80,0,1
32,56,998,19,82,1,1
20,82,995,15,33,0,1
21,83,1023,20,5,0,0
34,64,1013,2,68,1,1
23,37,1010,36,18,0,0
28,98,1019,21,94,0,1
40,26,1018,23,56,1,0
24,80,1017,4,15,1,0
36,96,1022,34,11,0,0
28,29,1021,13,16,1,0
22,81,1022,15,68,0,0
18,86,1012,42,18,0,1
19,71,1001,5,32,0,0
39,31,1009,24,13,1,0
39,44,1023,25,81,1,1
26,81,1002,27,61,0,1
34,90,1000,6,27,0,1
22,65,1011,28,48,0,0
20,34,996,26,34,0,1
41,98,1000,23,25,0,1
24,53,1009,39,19,0,0
39,44,1006,20,83,0,1
19,54,1015,35,21,1,1
32,51,1004,10,96,0,1
23,83,998,3,28,0,1
36,50,1019,11,52,1,0
39,75,1010,22,21,0,0
30,52,995,5,6,0,0
21,25,1004,37,72,1,1
27,56,1000,39,16,0,1
39,74,997,22,24,0,1
32,28,1023,10,26,0,0
41,41,1005,42,41,1,1
30,64,1001,24,95,1,1
18,93,1005,35,39,0,1
35,91,1024,34,74,0,1
33,34,1012,39,18,0,0
30,70,997,11,64,0,1
31,32,1013,43,80,1,1
23,63,1011,29,96,1,1
26,80,1021,22,1,0,0
28,84,1000,41,35,0,1
28,61,1009,29,17,1,1
39,35,1020,14,3,0,0
24,85,1005,25,67,0,1
18,79,997,15,37,0,1
18,62,1015,30,4,1,0
38,95,997,21,82,0,1
22,25,998,13,59,0,1
27,47,1019,22,60,0,0
37,49,1007,33,54,1,1
21,73,1004,40,79,1,1
38,85,1003,7,34,0,1
26,29,1004,24,80,0,1
33,91,1024,23,72,0,0
22,37,1008,24,44,0,0
25,90,999,7,17,0,1
39,57,1024,18,31,1,0
31,34,1009,37,33,0,0
28,63,1017,20,14,1,0
41,96,1005,10,46,1,1
18,43,997,11,39,1,1
18,53,1012,35,12,1,1
19,72,1009,14,47,0,0
24,50,1011,8,12,0,0
34,91,1001,40,52,1,1
34,67,1019,4,78,1,1
28,56,1020,17,24,1,0
26,80,995,30,85,1,1
36,75,1016,42,70,0,1
36,43,996,42,44,0,1
28,77,1008,31,56,1,1
36,72,996,33,7,1,1
29,81,1002,37,78,0,1
34,69,1012,3,76,1,1
32,44,1023,43,92,0,0
20,78,1008,41,58,1,1
21,84,1014,12,94,1,1
28,26,1024,10,91,0,0
19,85,1018,16,47,0,0
25,97,1020,38,44,0,1
37,88,1006,30,58,0,1
26,30,1023,18,15,1,0
20,45,1020,37,85,1,1
29,66,1023,14,10,0,0
25,83,1019,41,58,1,1
29,34,1006,12,78,0,0
19,74,1006,27,22,0,1
34,86,1000,4,37,1,1
18,69,1022,22,12,0,0
24,46,1004,40,52,1,1
21,47,1017,7,87,0,0
22,57,1022,9,0,0,0
39,94,1023,22,95,0,1
22,84,1018,7,88,1,1
41,53,1001,41,76,1,1
19,32,1005,34,53,1,1
23,72,1021,21,11,0,0
27,91,1007,28,34,0,1
33,37,1011,36,74,0,1
36,78,1005,31,47,0,1
39,62,1008,25,48,1,1
40,82,997,4,79,0,1
27,49,998,30,18,0,1
27,85,1005,26,19,0,1
40,48,1005,35,54,0,1
22,75,1015,13,49,0,0
34,66,1014,39,24,0,0
28,85,1012,28,54,1,1
41,99,1015,6,86,0,1
26,78,1004,23,82,1,1
24,28,995,16,75,0,1
35,71,1011,30,45,0,1
37,74,1010,34,58,0,1
29,64,1016,21,93,1,1
41,37,1007,3,36,1,0
19,60,1016,27,74,0,0
25,67,1016,21,7,0,0
34,79,1010,44,6,0,0
32,80,1010,28,52,1,1
26,59,1013,21,36,1,1
32,81,1002,16,94,1,1
31,44,1022,40,52,1,1
34,41,1004,31,28,0,0
28,74,1001,35,19,0,1
41,34,1014,16,83,1,1
25,96,1002,24,10,0,1
25,80,1022,11,38,0,0
21,37,998,38,25,1,1
35,88,1000,25,86,0,1
40,35,1022,33,61,0,0
23,34,1002,25,98,0,1
40,41,995,32,94,0,1
40,77,1018,35,8,0,0
33,42,1013,13,39,0,0
27,39,1009,40,12,1,1
26,64,1014,27,90,0,1
30,97,1006,39,82,0,1
20,72,1012,17,54,0,0
25,37,1007,18,5,0,0
31,78,998,40,71,0,1
23,87,1000,29,52,0,1
20,46,1023,39,71,0,0
23,56,997,11,2,1,1
29,73,1021,32,92,1,1
37,65,1024,22,83,0,0
39,28,1007,43,48,0,1
30,78,998,34,0,0,1
34,48,1020,9,90,0,0
31,96,1002,27,58,0,1
22,52,1019,17,1,1,0
34,54,1001,14,95,0,1
31,37,1005,22,93,0,1
40,64,1013,16,72,0,0
29,77,1017,31,32,1,1
26,78,1009,2,43,0,0
19,33,1009,13,96,1,1
25,96,1021,13,64,0,0
27,86,1013,12,42,0,0
18,56,1020,30,84,0,0
40,80,1000,23,49,0,1
30,88,1013,9,48,0,0
28,73,1015,3,62,0,0
24,52,1021,18,5,0,0
23,52,996,39,36,1,1
21,73,1005,37,57,0,1
34,84,1008,20,57,0,1
31,80,1021,29,0,0,0
33,64,995,13,71,1,1
35,28,1000,28,8,0,0
41,55,1018,15,24,1,0
20,48,1024,43,72,1,1
25,34,1013,4,23,1,0
33,39,997,13,52,0,1
32,58,1017,32,49,1,1
40,28,1017,2,88,1,0
20,45,1019,21,48,1,0
38,86,1023,34,37,0,0
31,76,1009,26,20,0,0
22,94,1011,44,46,0,1
35,45,1022,36,85,0,0
20,64,1012,11,88,1,1
25,99,1023,6,52,0,0
41,83,1007,39,92,0,1
33,26,995,41,59,0,1
28,63,1020,14,71,0,0
39,97,1001,32,57,0,1
32,58,1017,32,51,0,0
18,79,1016,41,0,0,0
27,78,1004,22,78,1,1
23,32,1024,18,16,0,0
30,41,1000,18,77,1,1
20,38,1009,9,60,0,0
30,55,1015,36,59,0,0
39,82,1011,24,88,0,1
32,29,1020,21,5,0,0
35,42,998,18,13,1,1
24,68,1017,16,18,1,0
32,59,1011,36,18,0,0
20,56,1020,41,23,0,0
34,95,1005,2,98,0,1
30,94,1020,15,36,0,0
32,92,1002,17,91,1,1
21,69,1020,29,95,1,1
20,32,1018,16,42,0,0
24,69,996,9,70,1,1
36,81,1010,36,29,1,1
35,93,1015,30,38,1,1
28,69,1017,6,93,0,0
31,28,1023,24,5,0,0
35,39,1002,33,72,0,1
37,30,1010,4,10,1,0
21,87,998,18,40,0,1
39,94,997,23,64,0,1
33,35,1007,43,2,1,1
29,38,995,19,72,0,1
36,71,999,24,29,1,1
19,49,1004,15,57,0,1
26,49,1008,36,47,0,1
20,99,1005,22,20,1,1
24,88,1024,3,75,0,0
35,78,1021,12,15,0,0
35,83,1020,17,5,1,0
28,71,1009,43,75,0,1
21,26,1020,28,26,0,0
25,31,1009,41,11,0,0
28,41,1023,18,35,1,0
22,60,1022,30,46,1,1
40,40,1008,11,70,0,0
22,53,997,16,99,0,1
37,43,1007,43,20,1,1
40,53,1014,26,69,0,0
19,46,1010,19,68,1,1
30,43,1017,35,12,0,0
39,46,1014,37,72,0,1
36,62,1000,16,56,0,1
21,74,1012,6,19,0,0
28,61,1016,5,92,1,1
30,66,1003,43,94,1,1
36,55,997,22,60,0,1
38,56,996,11,1,0,0
41,41,1010,17,45,0,0
28,25,1005,22,3,0,0
32,74,1006,32,80,1,1
18,71,1022,43,70,0,1
41,28,1006,20,25,0,0
35,67,1005,4,11,0,0
34,78,996,17,1,0,1
37,62,1022,26,95,0,0
27,64,995,14,41,0,1
39,46,1019,21,26,1,0
19,56,1020,26,65,0,0
26,97,1004,33,97,1,1
24,84,996,2,50,0,1
41,51,996,32,56,1,1
32,36,999,29,83,0,1
41,45,1004,15,17,0,0
19,82,1006,23,69,1,1
21,46,1008,17,60,1,1
18,69,998,21,17,0,1
40,40,1021,6,67,0,0
36,94,1006,17,80,0,1
31,85,1001,33,14,0,1
26,78,1009,35,4,0,0
37,67,995,32,98,0,1
36,78,1024,24,31,1,0
37,59,999,10,28,0,0
